,Region,Site,Filename,Start.freq,End.freq,Min.freq,Max.freq,Delta.freq,Duration,Extrema,sqrtStart.freq,sqrtEnd.freq,sqrtDelta.freq,logDuration,logExt,sqrtMin,sqrtMax
197,Coastal,1,T1C.03.ch01.180815.070649.84,6875.9,7226.3,5386.9,23036.5,17649.6,1.972,15,82.92104679,85.00764671,132.8517971,0.679048256,2.708050201,73.39550395,151.7777981
198,Coastal,1,T1C.01.ch01.180928.114548.36,12397.6,4734.9,4734.9,12397.6,7662.7,0.787,6,111.3445104,68.81060965,87.53684938,-0.239527031,1.791759469,68.81060965,111.3445104
199,Coastal,1,T1C.01.ch01.180930.113229.83,3975.9,3542.2,3433.7,6506,3072.3,0.673,4,63.05473812,59.5163843,55.42833211,-0.396009949,1.386294361,58.59778153,80.65977932
200,Coastal,1,sel.462.T1C.2017.07,8024.1,15614.5,7879.5,15614.5,7735,0.554,4,89.57734088,124.9579929,87.94884877,-0.590590592,1.386294361,88.76654775,124.9579929
201,Bay,3,rr.01.ch01.180625.152047.75.,4228.2,3714.5,3714.5,17505.6,13791.1,0.918,3,65.02461073,60.94669802,117.4355142,-0.085557888,1.098612289,60.94669802,132.3087299
202,Bay,3,rr.03.ch01.180625.152140.16.,8401.9,5759,5759,17079.9,11320.9,0.519,3,91.66187866,75.88807548,106.399718,-0.655851396,1.098612289,75.88807548,130.6900914
203,Bay,3,rr.08.180702.085614,8756.9,8796.3,8362.4,10413.6,2051.2,0.462,7,93.57830945,93.78859206,45.29017554,-0.772190388,1.945910149,91.44615902,102.047048
204,Bay,3,rr.10.180709.002806,13253.7,15620.4,13253.7,15857.1,2603.4,0.215,3,115.124715,124.9815986,51.02352399,-1.537117251,1.098612289,115.124715,125.9249777
205,Bay,3,rr.10.ch01.180625.152302.23.,8441.3,4575.7,4575.7,18657.7,14082,1.187,3,91.87654761,67.64392064,118.667603,0.171429116,1.098612289,67.64392064,136.5931916
206,Bay,3,rr.11.ch01.180625.152310.47.,9170.8,3508,3056.9,9170.8,6113.9,0.983,3,95.76429397,59.22837158,78.19143176,-0.017146159,1.098612289,55.28923946,95.76429397
207,Bay,3,rr.15.ch01.180625.152413.66.,5798.5,6350.7,5798.5,7810.2,2011.7,0.621,3,76.14788244,79.69127932,44.85197877,-0.476424197,1.098612289,76.14788244,88.37533593
208,Bay,3,rr.17.180709.051113,7770.8,6469.1,6192.9,10334.7,4141.8,0.52,8,88.15214121,80.43071553,64.35681782,-0.653926467,2.079441542,78.69498078,101.6597265
209,Bay,3,rr.19.ch01.180625.155459.54.,7455.2,5916.8,4496.8,15541.5,11044.7,1.065,6,86.34350004,76.92073843,105.0937677,0.062974799,1.791759469,67.05818369,124.6655526
210,Bay,3,rr.20.180709.051325,5956.3,4891.2,4378.4,11360.3,6981.9,1.31,11,77.17706913,69.93711461,83.55776445,0.270027137,2.397895273,66.16947937,106.5847081
211,Bay,3,rr.21.180709.052612,9309.1,6153.5,5916.8,11675.8,5759,0.915,5,96.48367738,78.44424772,75.88807548,-0.088831214,1.609437912,76.92073843,108.0546158
212,Bay,3,rr.29.180710.025623,8125.8,3352.9,3352.9,9388,6035.1,0.745,5,90.14321938,57.90423128,77.68590606,-0.294371061,1.609437912,57.90423128,96.89169211
213,Bay,3,rr.29.ch01.180625.155832.99.,7731.3,5404,3865.7,11399.7,7534,0.985,7,87.9278113,73.5119038,86.7986175,-0.015113638,1.945910149,62.17475372,106.7693776
