Index,WhisNum,SiteNum,Filename,Region,Startfreq,Endfreq,Minfreq,Maxfreq,Deltafreq,Duration,Extrema,SPLrms
54,1,1,sel.481.T1C.2017.07,Coastal,6643.8,5665.2,5253.2,11279,6025.8,1.16,5,123.1616927
54,2,1,T1C.20.ch01.180726.062125.43..ctr',Coastal,4635.2,6128.8,4068.7,10145.9,6077.2,0.903,5,130.7993789
55,1,2,20170730_231150.ctr,Coastal,8909.9,5098.7,5098.7,14987.1,9888.4,1.14,5,116.4570899
55,2,2,20170816_171553.ctr,Coastal,6334.8,6746.8,6334.8,13802.6,7467.8,0.772,5,114.0946593
56,1,2,20170730_231346.ctr,Coastal,10645.2,8129,6322.6,11677.4,5354.8,1.021,7,116.4570899
56,2,3,rr.29.ch01.180625.155832,Bay,7824.2,6520.2,3793.5,11439.9,7646.4,0.981,7,131.1894396
57,1,2,20170730_231405.ctr',Coastal,9161.3,6000,5096.8,12709.7,7612.9,1.001,6,116.4570899
57,2,1,T1C.01.ch01.180806.160154.79..ctr',Coastal,9741.9,5741.9,5354.8,13548.4,8193.6,0.841,6,131.1361779
58,1,1,sel.74_T1C_201708.ctr',Coastal,10709.7,9225.8,7161.3,12516.1,5354.8,0.632,5,123.0437078
58,2,2,A5C.02.ch01.180925.190307.40..ctr',Coastal,11419.4,14258.1,6645.2,14258.1,7612.9,0.494,4,118.8066504
59,1,1,sel.10_T1C_201708.ctr',Coastal,7612.9,13419.4,5806.5,13483.9,7677.4,0.968,5,122.9355681
59,2,2,A5C.01.ch01.181130.164538.35..ctr',Coastal,12838.7,13161.3,6000,13161.3,7161.3,0.511,5,109.284714
60,1,1,sel.84_T1C_201708.ctr',Coastal,9806.5,6838.7,6838.7,9806.5,2967.8,0.548,4,122.9314501
60,2,2,A5C.02.ch01.180725.221748.07..ctr',Coastal,12580.6,7225.8,7225.8,12580.6,5354.8,0.368,2,118.8348802
60,3,4,Pot.01.190613.190644.13.ctr',Bay,8967.7,7032.3,7032.2,8967.7,1935.5,0.399,4,103.0505194
61,1,1,sel.26_T1C_201708.ctr',Coastal,8129,8322.6,6387.1,15677.4,9290.3,0.406,4,122.9727618
61,2,1,T1C.19.ch01.180727.062339.59..wav,Coastal,7483.9,8000,6709.7,17096.8,10387.1,0.659,4,130.7350609
62,1,3,rr.01.ch01.180623.021504.19..ctr,Bay,15292.7,9602.4,8831.9,16952.4,8120.5,0.629,4,128.5597404
62,2,3,rr.03.ch01.180625.152140.16..ctr,Bay,8476.2,5749.6,5749.6,17071,11321.4,0.515,3,129.2303319
63,1,3,rr.29.025623.ctr,Bay,8120.6,3319.4,3319.4,9306,5986.6,0.746,5,102.5623203
63,2,3,rr.42.021142.ctr,Bay,11973.4,10432.3,6875.8,11973.4,5097.6,0.326,3,113.5461162
