site,whistle,date,SiteIndex
2,A5C.02.ch01.181112.053416.67..ctr',11/12/18,300
2,A5C.01.ch01.181118.160223.47..ctr',11/18/18,301
2,A5C.01.ch01.181118.161523.65..ctr',11/18/18,302
2,A5C.02.ch01.181118.160233.79..ctr',11/18/18,303
2,A5C.03.ch01.181118.160453.96..ctr',11/18/18,304
2,A5C.01.ch01.181119.000021.35..ctr',11/19/18,305
2,A5C.01.ch01.181119.001602.26..ctr',11/19/18,306
2,A5C.01.ch01.181119.004550.33..ctr',11/19/18,307
2,A5C.02.ch01.181119.000034.83..ctr',11/19/18,308
2,A5C.02.ch01.181119.001711.10..ctr',11/19/18,309
2,A5C.07.ch01.181119.000408.03..ctr',11/19/18,313
2,A5C.08.ch01.181119.000150.44..ctr',11/19/18,314
2,A5C.01.ch01.181126.014615.33..ctr',11/26/18,315
2,A5C.01.ch01.181126.020018.77..ctr',11/26/18,316
2,A5C.01.ch01.181126.021803.11..ctr',11/26/18,317
2,A5C.01.ch01.181126.024518.28..ctr',11/26/18,318
2,A5C.01.ch01.181126.031518.38..ctr',11/26/18,319
2,A5C.02.ch01.181126.020225.24..ctr',11/26/18,320
2,A5C.02.ch01.181126.021926.98..ctr',11/26/18,321
2,A5C.02.ch01.181126.024528.35..ctr',11/26/18,322
2,A5C.02.ch01.181126.031555.83..ctr',11/26/18,323
2,A5C.01.ch01.181130.171511.60..ctr',11/30/18,327
2,A5C.01.ch01.181130.173006.92..ctr',11/30/18,328
2,A5C.01.ch01.181130.190031.98..ctr',11/30/18,329
2,A5C.01.ch01.181130.191652.29..ctr',11/30/18,330
2,A5C.02.ch01.181130.171614.19..ctr',11/30/18,332
2,A5C.02.ch01.181130.173254.11..ctr',11/30/18,333
2,A5C.02.ch01.181130.191658.42..ctr',11/30/18,334
2,A5C.03.ch01.181130.171638.03..ctr',11/30/18,336
2,A5C.03.ch01.181130.173350.80..ctr',11/30/18,337
2,A5C.05.ch01.181130.181801.94..ctr',11/30/18,339
2,A5C.01.ch01.181201.071927.50..ctr',12/1/18,340
2,A5C.01.ch01.181201.174733.23..ctr',12/1/18,341
2,A5C.01.ch01.181201.190204.84..ctr',12/1/18,342
2,A5C.01.ch01.181201.214542.70..ctr',12/1/18,343
2,A5C.02.ch01.181201.174948.03..ctr',12/1/18,344
2,A5C.01.ch01.181202.074811.03..ctr',12/2/18,345
2,A5C.01.ch01.181202.080126.27..ctr',12/2/18,346
2,A5C.01.ch01.181202.103133.90..ctr',12/2/18,348
2,A5C.02.ch01.181202.074845.76..ctr',12/2/18,350
2,A5C.02.ch01.181202.091557.32..ctr',12/2/18,353
2,A5C.03.203431,12/2/18,355
2,A5C.03.ch01.181202.080223.89..ctr',12/2/18,356
2,A5C.03.ch01.181202.090339.14..ctr',12/2/18,357
2,A5C.03.ch01.181202.091634.72..ctr',12/2/18,358
2,A5C.03.ch01.181202.1726.99..ctr',12/2/18,359
2,A5C.03.ch01.181202.201726.99..ctr',12/2/18,360
2,A5C.04.ch01.181202.090355.84..ctr',12/2/18,361
2,A5C.04.ch01.181202.201907.84..ctr',12/2/18,362
2,A5C.05.ch01.181202.091759.22..ctr',12/2/18,363
2,A5C.05.ch01.181202.201953.93..ctr',12/2/18,364
2,A5C.06.ch01.181202.124100.31..ctr',12/2/18,366
2,A5C.07.ch01.181202.091811.95..ctr',12/2/18,367
2,A5C.07.ch01.181202.124128.25..ctr',12/2/18,368
